m,n,k,time
400,300,500,0.26102499999999995
400,300,600,0.31387200000000004
400,300,700,0.366587
400,300,800,0.428821
400,300,900,0.466478
400,300,1000,0.511332
400,400,100,0.0680465
400,400,200,0.142957
400,400,300,0.20948
400,400,400,0.288767
400,400,500,0.34498
400,400,600,0.407557
400,400,700,0.48386399999999996
400,400,800,0.5768220000000001
400,400,900,0.61901
400,400,1000,0.67811
400,500,100,0.08526500000000001
400,500,200,0.170107
400,500,300,0.256455
400,500,400,0.359389
400,500,500,0.430526
400,500,600,0.510344
400,500,700,0.599558
400,500,800,0.706142
400,500,900,0.780814
400,500,1000,0.8518239999999999
400,600,100,0.101
400,600,200,0.20540799999999998
400,600,300,0.315926
400,600,400,0.425985
400,600,500,0.521447
400,600,600,0.616784
400,600,700,0.7269500000000001
400,600,800,0.8412000000000001
400,600,900,0.943878
400,600,1000,1.02986
400,700,100,0.117326
400,700,200,0.23702600000000001
400,700,300,0.367255
400,700,400,0.49368900000000004
400,700,500,0.6023099999999999
400,700,600,0.7251299999999999
400,700,700,0.857927
400,700,800,0.963129
400,700,900,1.1223299999999998
400,700,1000,1.2196300000000002
400,800,100,0.13408099999999998
400,800,200,0.273937
400,800,300,0.422333
400,800,400,0.557884
400,800,500,0.6969650000000001
400,800,600,0.829999
400,800,700,0.974099
400,800,800,1.16196
400,800,900,1.30632
400,800,1000,1.43141
400,900,100,0.15176800000000001
400,900,200,0.313244
400,900,300,0.47904
400,900,400,0.632107
400,900,500,0.795196
400,900,600,0.961092
400,900,700,1.1389
400,900,800,1.30819
400,900,900,1.47567
400,900,1000,1.64976
400,1000,100,0.172397
400,1000,200,0.361323
400,1000,300,0.544961
400,1000,400,0.732326
400,1000,500,0.901593
400,1000,600,1.0695299999999999
400,1000,700,1.25929
400,1000,800,1.44674
400,1000,900,1.6501700000000001
400,1000,1000,1.83836
500,100,100,0.0208772
500,100,200,0.0415916
500,100,300,0.063739
500,100,400,0.0866251
500,100,500,0.108262
500,100,600,0.129615
500,100,700,0.152294
500,100,800,0.172174
500,100,900,0.197346
500,100,1000,0.216484
500,200,100,0.041459
500,200,200,0.08594629999999999
500,200,300,0.130673
500,200,400,0.17099899999999998
500,200,500,0.215393
500,200,600,0.259173
500,200,700,0.302891
500,200,800,0.358321
500,200,900,0.390748
500,200,1000,0.43119799999999997
500,300,100,0.0622651
500,300,200,0.130498
500,300,300,0.200787
500,300,400,0.262972
500,300,500,0.325967
500,300,600,0.387048
500,300,700,0.45405399999999996
500,300,800,0.531205
500,300,900,0.576258
500,300,1000,0.63098
500,400,100,0.0845129
500,400,200,0.175792
500,400,300,0.25797899999999996
500,400,400,0.35450400000000004
500,400,500,0.44226299999999996
500,400,600,0.491361
500,400,700,0.578447
500,400,800,0.692994
500,400,900,0.750666
500,400,1000,0.819163
500,500,100,0.101411
500,500,200,0.204653
500,500,300,0.309446
500,500,400,0.428391
500,500,500,0.517476
500,500,600,0.6365660000000001
500,500,700,0.764713
500,500,800,0.9003730000000001
500,500,900,0.98923
500,500,1000,1.06605
500,600,100,0.125438
500,600,200,0.253463
500,600,300,0.39002
500,600,400,0.531489
500,600,500,0.6475850000000001
500,600,600,0.77152
500,600,700,0.926791
500,600,800,1.06484
500,600,900,1.1901300000000001
500,600,1000,1.27444
500,700,100,0.14710800000000002
500,700,200,0.295193
500,700,300,0.460364
500,700,400,0.6110650000000001
500,700,500,0.764021
500,700,600,0.9339059999999999
500,700,700,1.10348
500,700,800,1.24309
500,700,900,1.43001
500,700,1000,1.56012
500,800,100,0.17027899999999999
500,800,200,0.35559500000000005
500,800,300,0.543261
500,800,400,0.711284
500,800,500,0.8829130000000001
500,800,600,1.07832
